"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"CALABRIA";"DESTRE UNITE - FORCONI";1769,00;0,00
"SICILIA";"LEGA";119512,00;1,00
"SICILIA";"FORZA ITALIA";454303,00;3,00
"SICILIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";82177,00;1,00
"SICILIA";"NOI CON L'ITALIA - UDC";48186,00;0,00
"SICILIA";"MOVIMENTO 5 STELLE";1055015,00;7,00
"SICILIA";"PARTITO DEMOCRATICO";255821,00;2,00
"SICILIA";"+EUROPA";24682,00;0,00
"SICILIA";"ITALIA EUROPA INSIEME";6735,00;0,00
"SICILIA";"CIVICA POPOLARE LORENZIN";12863,00;0,00
"SICILIA";"LIBERI E UGUALI";64975,00;1,00
"SICILIA";"POTERE AL POPOLO!";15666,00;0,00
"SICILIA";"CASAPOUND ITALIA";10895,00;0,00
"SICILIA";"IL POPOLO DELLA FAMIGLIA";22542,00;0,00
"SICILIA";"ITALIA AGLI ITALIANI";12569,00;0,00
"SICILIA";"PARTITO VALORE UMANO";3753,00;0,00
"SICILIA";"PARTITO REPUBBLICANO ITALIANO - ALA";2498,00;0,00
"SICILIA";"LISTA DEL POPOLO PER LA COSTITUZIONE";1863,00;0,00
"SARDEGNA";"LEGA";93812,00;1,00
"SARDEGNA";"FORZA ITALIA";114003,00;1,00
"SARDEGNA";"FRATELLI D'ITALIA CON GIORGIA MELONI";34722,00;0,00
"SARDEGNA";"NOI CON L'ITALIA - UDC";8852,00;0,00
"SARDEGNA";"MOVIMENTO 5 STELLE";341177,00;2,00
"SARDEGNA";"PARTITO DEMOCRATICO";123887,00;1,00
"SARDEGNA";"+EUROPA";12694,00;0,00
"SARDEGNA";"ITALIA EUROPA INSIEME";4806,00;0,00
"SARDEGNA";"CIVICA POPOLARE LORENZIN";3124,00;0,00
"SARDEGNA";"LIBERI E UGUALI";23952,00;0,00
"SARDEGNA";"POTERE AL POPOLO!";7480,00;0,00
"SARDEGNA";"CASAPOUND ITALIA";6775,00;0,00
"SARDEGNA";"IL POPOLO DELLA FAMIGLIA";5531,00;0,00
"SARDEGNA";"PARTITO COMUNISTA";5140,00;0,00
"SARDEGNA";"PARTITO VALORE UMANO";2929,00;0,00
"SARDEGNA";"AUTODETERMINATZIONE";20468,00;0,00
